city_name;country_name;year_observation;year_reporting;gpcX2012;gpcX2013;gpcX2014;gpcX2015;gpcX2016;City_Code;geoname_id
Reims;France;;2019;41344;41113;37276;40704;40578;FR018C1;2984114
Orléans;France;;2019;39009;38679;38110;38036;37991;FR019C1;2989317
Dijon;France;;2019;40061;40264;40023;40583;40305;FR020C2;3021372
Poitiers;France;;2019;34562;34518;34069;34349;34295;FR021C2;2986495
Clermont-Ferrand;France;;2019;37709;38064;39509;38360;36490;FR022C2;3024635
Caen;France;;2019;35845;35478;35379;35558;35883;FR023C2;3029241
Limoges;France;;2019;31074;32145;33147;32407;34108;FR024C2;2998286
Besançon;France;;2019;32710;32952;34354;33762;33709;FR025C1;3033123
Grenoble;France;;2019;38492;38149;38501;38097;38920;FR026C2;3014728
Ajaccio;France;;2019;36603;36715;36331;35868;36405;FR027C1;3038334
Saint Denis;France;;2019;10844;11153;11656;12070;12772;FR028C1;2980916
Fort-de-France;France;;2019;10844;11153;11656;12070;12772;FR030C1;3570675
